K, one_hit, precision, mrr, recall, f1 
3,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
5,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
10,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
3,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
5,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
10,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,0.5,0.6666666666666666
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,0.5,0.6666666666666666
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,0.5,0.6666666666666666
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,0.6666666666666666,0.8
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,0.6666666666666666,0.8
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,0.6666666666666666,0.8
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,0.6666666666666666,0.8
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,0.6666666666666666,0.8
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,0.6666666666666666,0.8
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
3,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
5,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
10,0.0,0.0,0.0,0.0,0.0
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,1.0,1.0
K, one_hit, precision, mrr, recall, f1 
3,1.0,1.0,1.0,0.5,0.6666666666666666
K, one_hit, precision, mrr, recall, f1 
5,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
K, one_hit, precision, mrr, recall, f1 
10,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
